libraryName	laneNb	pipelineVersion	laneYield	clustersPF	percentPFClusters	percentQ30PF	meanScorePF	DirectoryLocation
C7-3	2	2.2	0	0				/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C6-2	2	2.2	3,154	10,445,355	100	90.15	35.26	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C6-1	2	2.2	0	0				/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C5-5	2	2.2	1,032	3,415,888	100	90.45	35.33	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C5-4	2	2.2	1,918	6,351,671	100	90.9	35.41	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C5-3	2	2.2	1,514	5,014,792	100	89.68	35.2	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C4-5	2	2.2	1,712	5,669,741	100	90.15	35.27	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C4-4	2	2.2	2,189	7,247,016	100	89.97	35.26	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M6-5	2	2.2	375	1,240,879	100	90.84	35.41	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M5-4	2	2.2	554	1,835,013	100	89.82	35.24	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M4-4	2	2.2	0	0				/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M4-1	2	2.2	895	2,963,505	100	91.06	35.45	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
M3-4	2	2.2	1,236	4,092,256	100	92.06	35.64	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A4-1	2	2.2	5,800	19,203,717	100	90.1	35.22	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A3-5	2	2.2	5,642	18,682,584	100	88.39	34.92	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A3-3	2	2.2	10,867	35,983,518	100	85.59	34.39	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A3-2	2	2.2	7,134	23,622,386	100	88.55	34.92	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A3-1	2	2.2	11,117	36,810,412	100	88.65	34.93	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C9-2	2	2.2	5,448	18,038,416	100	90.35	35.29	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
C8-5	2	2.2	3,971	13,149,885	100	88.52	34.95	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F9-4	2	2.2	4,899	16,220,872	100	89.41	35.08	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F9-2	2	2.2	2,748	9,100,463	100	88.92	35.04	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A2-3	2	2.2	12,453	41,236,603	100	88.52	34.91	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A2-2	2	2.2	16,727	55,388,343	100	88.32	34.87	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A1-3	2	2.2	7,368	24,396,017	100	89.35	35.08	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A1-2	2	2.2	4,626	15,318,029	100	89.58	35.11	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A1-1	2	2.2	8,622	28,550,381	100	88.53	34.87	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A5-4	2	2.2	4,656	15,417,167	100	87.73	34.77	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A5-1	2	2.2	8,623	28,551,681	100	88.44	34.91	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A4-4	2	2.2	17,360	57,484,885	100	88.54	34.93	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
A4-2	2	2.2	7,844	25,972,007	100	87.31	34.72	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F6-4	2	2.2	1,240	4,106,954	100	89.63	35.19	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F6-2	2	2.2	2,278	7,543,168	100	90.51	35.34	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F6-1	2	2.2	0	0				/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
F5-4	2	2.2	492	1,629,334	100	90.81	35.43	/nas/FAC/FBM/DMF/pengel/general_data/D2c/datasets/NGS_data/20230227_HGMH3DMXY_Malaysia_samples_run2/RawData
