MAG_species_name_final	MAG_species_Name_in_analysis	cluster	RepMAG	MAG_species_name_final_nospace
Lactobacillus SGB-32_1	g__Lactobacillus_32_1	32_1	D6-1_19	Lactobacillus_SGB-32_1
Lactobacillus panisapium	g__Lactobacillus_32_2	32_2	C4-3_8	Lactobacillus_panisapium
Lactobacillus SGB-33_1	g__Lactobacillus_33_1	33_1	A2-2_5	Lactobacillus_SGB-33_1
Lactobacillus SGB-34_1	g__Lactobacillus_34_1	34_1	F7-1_2	Lactobacillus_SGB-34_1
Melissococcus plutonius	g__Melissococcus_71_1	71_1	A1-2_16	Melissococcus_plutonius
Pantoea dispersa	g__Pantoea_96_1	96_1	M3-5_8	Pantoea_dispersa
Pantoea vagans	g__Pantoea_97_0	97_0	D3-2_16	Pantoea_vagans
Parolsenella SGB-60_1	g__Parolsenella_60_1	60_1	D2-1_9	Parolsenella_SGB-60_1
Pectinatus SGB-54_1	g__Pectinatus_54_1	54_1	D2-5_3	Pectinatus_SGB-54_1
Pluralibacter SGB-98_1	g__Pluralibacter_98_1	98_1	M3-2_13	Pluralibacter_SGB-98_1
Q3-R57-64 SGB-48_1	g__Q3-R57-64_48_1	48_1	D6-2_16	Q3-R57-64_SGB-48_1
Rosenbergiella epipactidis	g__Rosenbergiella_108_0	108_0	A4-2_1	Rosenbergiella_epipactidis
Saezia SGB-47_1	g__Saezia_47_1	47_1	D9-2_8	Saezia_SGB-47_1
Saezia SGB-49_1	g__Saezia_49_1	49_1	D1-4_34	Saezia_SGB-49_1
Snodgrassella alvi	g__Snodgrassella_55_1	55_1	M4-2_8	Snodgrassella_alvi
Snodgrassella alvi_E	g__Snodgrassella_56_1	56_1	C2-1_16	Snodgrassella_alvi_E
Snodgrassella SGB-56_2	g__Snodgrassella_56_2	56_2	D1-4_20	Snodgrassella_SGB-56_2
Snodgrassella sp945267035	g__Snodgrassella_57_1	57_1	C3-3_12	Snodgrassella_sp945267035
Snodgrassella SGB-58_1	g__Snodgrassella_58_1	58_1	F4-5_22	Snodgrassella_SGB-58_1
Snodgrassella alvi_G	g__Snodgrassella_59_1	59_1	M7-4_22	Snodgrassella_alvi_G
Spiroplasma melliferum	g__Spiroplasma_21_1	21_1	C2-1_7	Spiroplasma_melliferum
WRHT01 SGB-1_1	g__WRHT01_1_1	1_1	D1-2_4	WRHT01_SGB-1_1
Zymobacter SGB-42_0	g__Zymobacter_42_0	42_0	C3-4_23	Zymobacter_SGB-42_0
Zymobacter SGB-43_0	g__Zymobacter_43_0	43_0	C3-4_7	Zymobacter_SGB-43_0
Zymobacter SGB-44_0	g__Zymobacter_44_0	44_0	C3-4_19	Zymobacter_SGB-44_0
Zymobacter SGB-110_0	g__Zymomonas_110_0	110_0	C3-4_12	Zymobacter_SGB-110_0
